,SMILES,pce
0,C1C=c2ccc3[nH]c4c(c3c2=C1)c1ccccc1c1cc(ncc41)-c1scc2[nH]ccc12,1.1893082
1,c1sc(-c2cc3[nH]c4c(c5nsnc5c5ccc6ccccc6c45)c3o2)c2nccnc12,6.369797
2,c1[nH]cc2c(cccc12)-c1cc2c3cscc3c3ccncc3c2o1,1.6912131
3,c1cc2c(scc2[nH]1)-c1sc(-c2sc(-c3ncncn3)c3sccc23)c2[nH]ccc12,1.9477261
4,C1cccc1-c1ccc(cn1)-c1ccc(cn1)-c1scc2cc[nH]c12,2.5456793
5,c1[nH]cc2c1ccc1sc3c4ccc(cc4sc3c21)-c1ccccc1,1.2393137
6,[SiH2]1cccc1-c1ccc(o1)-c1ccc(-c2ncncn2)c2cscc12,6.6522145
7,c1cc2c(scc2o1)-c1cc2[nH]c3c(ncc4ccccc34)c2c2ccccc12,1.7247194
8,c1cc2c3nsnc3c3c(cnc4cc(-c5nccc6nsnc56)c5ccccc5c34)c2s1,7.788905
9,c1cc2sc3c4ncc(cc4sc3c2s1)-c1scc2cc[se]c12,2.4572296
10,[SiH2]1C=c2cccc(-c3cc4oc5cc6cc[se]c6cc5c4c4cocc34)c2=C1,6.533949
11,c1ccc2cc3c(cc2c1)c1nsnc1c1cc(ncc31)-c1cccc2ccccc12,3.562046
12,C1C=c2ccc3c(c4oc5C=C([SiH2]c5c4c4=CCC=c34)c3scc4ccoc34)c2=C1,0.84797704
13,C1cc2c(ccc(-c3ccc(-c4ccc[se]4)c4c[nH]cc34)c2c1)-c1ccc[nH]1,1.7290193
14,c1scc2c1ccc1cnc3c4[nH]c(cc4cnc3c21)-c1nccc2nsnc12,0.0
15,c1cc2csc(-c3cc4c5cocc5c5c6sccc6c6nsnc6c5c4c4c[nH]cc34)c2o1,3.4066775
16,[SiH2]1C=Cc2csc(c12)-c1cc2c3cscc3c3c4[nH]ccc4ncc3c2s1,2.5809555
17,C1C=c2c3c([nH]c4ccoc34)c3cnc(cc3c2=C1)-c1cccc2nsnc12,4.954761
18,C1ccc2c1c(sc2-c1sc(-c2nccc3nsnc23)c2[se]ccc12)-c1ccco1,8.079146
19,C1C=Cc2csc(c12)-c1cc2cnc3c4ccccc4c4cocc4c3c2c2nsnc12,6.764646
20,[SiH2]1C=CC=C1c1cc2c3ccccc3c3c4[nH]ccc4cnc3c2c2ccccc12,2.4575217
21,c1occ2c1c1ccc3ccccc3c1c1ccc(cc21)-c1cccc2cscc12,2.1114213
22,C1C=Cc2ncc3c4sc(cc4c4nsnc4c3c12)-c1cncc2nsnc12,0.0
23,C1c(ccc1-c1sc(-c2scc3ccoc23)c2[nH]ccc12)-c1scc2[SiH2]ccc12,0.0
24,c1csc(c1)-c1cc2c3cocc3c3c4occc4cnc3c2c2cocc12,2.9560366
25,C1C=Cc2csc(c12)-c1cc2oc3c(c4cocc4c4ccncc34)c2c2=C[SiH2]C=c12,6.413026
26,C1C=c2ccc3[nH]c4c5[nH]c(cc5c5cocc5c4c3c2=C1)-c1scc2[SiH2]C=Cc12,0.38250464
27,C1C=Cc2[se]c3c(c12)c1nsnc1c1cc(-c2cccs2)c2=C[SiH2]C=c2c31,9.2689295
28,[SiH2]1C=c2ccc3oc4c(sc5cc(-c6scc7[nH]ccc67)c6nsnc6c45)c3c2=C1,5.1647387
29,[SiH2]1C=c2c(cc3cc4[se]c5ccoc5c4cc3c2=C1)-c1cccc2cscc12,4.273902
30,C1C=c2c3ccc4nsnc4c3c3ncc4cc(ncc4c3c2=C1)-c1cncs1,7.7844963
31,[SiH2]1cc2c(ccc(-c3ccc(-c4ccccn4)c4c[nH]cc34)c2c1)-c1ccc[se]1,4.6112504
32,c1occ2c1ccc1cc3c4nsnc4c4cc([nH]c4c3cc21)-c1cccc2ccccc12,2.7035224
33,c1cc2c(scc2[nH]1)-c1cc2oc3cc4ccoc4cc3c2s1,1.5612783
34,[SiH2]1C(=Cc2sc3c(c12)c1nsnc1c1ccc2cocc2c31)c1cccs1,6.339548
35,C1cccc1-c1sc(-c2ccc(nc2)-c2scc3cc[se]c23)c2occc12,3.1228333
36,c1cc2csc(-c3ncc(-c4sc(-c5scc6[se]ccc56)c5ccsc45)c4nsnc34)c2s1,7.9305983
37,[SiH2]1C(=Cc2cc3c4c[nH]cc4c4ccc5nsnc5c4c3cc12)c1scc2ccoc12,4.278514
38,c1cc2csc(-c3cnc4c(c3)c3cscc3c3c5[nH]ccc5c5cscc5c43)c2[nH]1,2.3435051
39,C1C=c2c(cc3ccc4c5[se]ccc5c5nsnc5c4c3c2=C1)-c1cncs1,4.927338
40,c1ccc(nc1)-c1ccc(-c2ccc(-c3cccnc3)c3ccccc23)c2nsnc12,4.697329
41,[SiH2]1C=c2c(cc3[se]ccc3c2=C1)-c1scc2ccsc12,5.6247144
42,[SiH2]1cc2c(ccc(-c3cccc4cscc34)c2c1)-c1ccc([nH]1)-c1scc2[SiH2]ccc12,6.1440277
43,c1cncc(c1)-c1ccc2c(c1)[nH]c1c2c2nsnc2c2ccc3nsnc3c12,9.725353
44,C1c2cc([nH]c2-c2sc3cc[nH]c3c12)-c1cccc2cscc12,0.0
45,[SiH2]1C=c2c3c4ncc(cc4oc3c3c4ccccc4ccc3c2=C1)-c1cccs1,6.0753345
46,C1ccc2csc(c12)-c1ccc(-c2Cc(cc2)-c2cccnc2)c2ccccc12,2.5275223
47,C1ccc2c1csc2-c1ncc(s1)-c1ncc(-c2scc3[nH]ccc23)c2nsnc12,7.5087256
48,C1C=c2ccc3[nH]c4cc5cc(cnc5cc4c3c2=C1)-c1scc2ccoc12,2.5379398
49,C1C=Cc2c1csc2-c1cc2c3cscc3c3cc[se]c3c2c2cscc12,3.1155891
50,C1C=c2ccc3ncc4c5sc(cc5c5ccccc5c4c3c2=C1)C1=CC=CC1,3.317583
51,[SiH2]1C=Cc2c1c1ncc3C=C([SiH2]c3c1c1cscc21)c1scc2[se]ccc12,5.5719767
